City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
361,Katobu,ID,81.07,-4.9408,122.5276,La Ode Husein
362,Dzilam Gonzalez,MX,74.61,21.2833,-88.9333,posadas
369,Tiznit,MA,80.11,29.5833,-9.5,
372,San Pedro De Macoris,DO,75.33,18.4616,-69.2972,Apartahotel Guaraguao
374,Orbetello,IT,88.38,42.4408,11.2196,Argentario Golf Resort & Spa
376,Loa Janan,ID,83.28,-0.583,117.095,Rumah Elys Fitria Wahyuning Tyas
377,Kenderes,HU,84.22,47.25,20.6833,
378,Korla,CN,87.82,41.7597,86.1469,Gulisitan Hotel
380,Nioro,GM,76.91,13.35,-15.75,
381,Kabo,CF,72.48,7.6994,18.629,
390,Alofi,NU,75.09,-19.0595,-169.9187,Taloa Heights
392,Charters Towers,AU,77.65,-20.1,146.2667,Cattleman's Rest Motor Inn
393,Basco,PH,81.66,20.4487,121.9702,Nathaniel's Lodge
394,Gamba,GA,77.0,-2.65,10.0,
395,Xining,CN,84.69,36.6167,101.7667,Super Leisure Hotel
399,Kavaratti,IN,82.6,10.5669,72.642,Hotels in Lakshadweep Islands
400,Lusambo,CD,89.56,-4.9667,23.45,
401,Celano,IT,84.94,42.0855,13.5398,Lory
402,Puerto Colombia,CO,80.69,10.9878,-74.9547,Hotel El Emigrante
403,Pemba,MZ,81.3,-12.974,40.5178,Guesthouse Samotina
404,Manggar,ID,85.19,-2.8833,108.2667,Guest Hotel
405,Maumere,ID,82.36,-8.6199,122.2111,Sylvia Hotel
406,Raga,SS,73.17,8.4596,25.678,
407,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
408,Muana,BR,72.21,-1.5283,-49.2167,Pousada Bella do Marajó
409,Nabire,ID,81.34,-3.3667,135.4833,Hotel Nusantara Nabire
411,Kendari,ID,81.45,-3.945,122.4989,Hotel Wixel
414,Buala,SB,79.03,-8.145,159.5921,Maringe Lagoon Lodge
416,Botou,CN,85.41,38.0667,116.5667,Hanting Hotel Huanghua City Hall
