City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Kotelnikovo,RU,2021-07-30 21:06:25,47.6317,43.1461,79.2,26,16,4.52
182,Visby,SE,2021-07-30 21:06:26,57.6409,18.296,67.86,82,75,13.8
183,Strezhevoy,RU,2021-07-30 21:06:26,60.7333,77.5889,49.98,89,13,5.93
184,Sitka,US,2021-07-30 20:59:36,57.0531,-135.33,71.49,60,100,3.49
185,Beringovskiy,RU,2021-07-30 20:59:09,63.05,179.3167,42.67,71,99,16.58
186,Imbituba,BR,2021-07-30 20:59:31,-28.24,-48.6703,57.09,76,0,4.52
187,Adwa,ET,2021-07-30 21:06:27,14.1646,38.8955,62.22,94,74,4.43
188,Ocampo,MX,2021-07-30 21:06:28,21.65,-101.5,76.28,41,63,18.37
189,Deputatskiy,RU,2021-07-30 21:03:24,69.3,139.9,56.52,46,92,5.7
190,Chhatapur,IN,2021-07-30 21:06:28,26.2167,87.0167,78.76,92,99,18.34
191,Estelle,US,2021-07-30 21:06:28,29.8458,-90.1067,96.8,59,75,4.61
192,San Cristobal,VE,2021-07-30 20:58:40,7.7669,-72.225,86.18,75,49,6.58
193,Khatanga,RU,2021-07-30 20:57:43,71.9667,102.5,71.78,47,30,9.73
194,Dolores,AR,2021-07-30 21:06:29,-36.3132,-57.6792,49.66,51,0,9.51
195,Elk City,US,2021-07-30 21:06:29,35.412,-99.4043,97.29,38,40,0.0
196,Krasnomayskiy,RU,2021-07-30 21:06:30,57.6194,34.4099,58.59,83,76,5.26
197,Sharya,RU,2021-07-30 21:06:31,58.3686,45.5144,62.85,96,94,2.1
198,Kruisfontein,ZA,2021-07-30 21:06:31,-34.0033,24.7314,47.88,78,9,4.03
199,Nador,MA,2021-07-30 21:06:31,35.174,-2.9287,79.05,73,0,2.3
200,Kalach-Na-Donu,RU,2021-07-30 21:06:32,48.691,43.5264,79.92,46,44,2.82
201,Ergani,TR,2021-07-30 21:06:32,38.2653,39.7621,85.55,22,5,8.77
202,Lompoc,US,2021-07-30 20:57:22,34.6391,-120.4579,96.01,67,20,5.99
203,Aiken,US,2021-07-30 21:06:33,33.5835,-81.5998,96.35,57,40,6.91
204,Atasu,KZ,2021-07-30 21:06:33,48.6814,71.6433,64.94,37,3,3.47
205,Te Anau,NZ,2021-07-30 20:57:21,-45.4167,167.7167,44.94,95,100,3.85
